party,n_votes,n_regional_mp,is_party
เพื่อไทย,7881006,136,1
พลังประชารัฐ,8441274,97,1
อนาคตใหม่,6330617,31,1
ประชาธิปัตย์,3959358,33,1
ภูมิใจไทย,3734459,39,1
เสรีรวมไทย,824284,0,1
ชาติไทยพัฒนา,783689,6,1
ประชาชาติ,481490,6,1
เศรษฐกิจใหม่,486273,0,1
เพื่อชาติ,421412,0,1
รวมพลังประชาชาติไทย,415585,1,1
ชาติพัฒนา,244770,1,1
พลังท้องถิ่นไท,214189,0,1
รักษ์ผืนป่าประเทศไทย,134816,0,1
พลังปวงชนไทย,80186,0,1
พลังชาติไทย,73421,0,1
ประชาภิวัฒน์,69431,0,1
พลังไทยรักไทย,60434,0,1
ไทยศรีวิไลย์,60354,0,1
ครูไทยเพื่อประชาชน,56633,0,1
ประชานิยม​,56264,0,1
ประชาธรรมไทย​,48037,0,1
ประชาชนปฏิรูป​,45420,0,1
พลเมืองไทย​,44961,0,1
ประชาธิปไตยใหม่​,39260,0,1
พลังธรรมใหม่​,35099,0,1
อื่นๆ,57344,0,0